Timecode List:,00:00:01.568,00:00:09.576,00:00:13.013,00:00:15.015,00:00:21.054,00:00:23.156,00:00:24.858,00:00:28.095,00:00:29.897,00:00:47.247,00:00:48.882,00:00:50.784,00:00:52.519,00:00:54.521,00:01:25.352,00:01:32.659,00:01:50.210,00:01:54.815,00:02:14.401,00:02:18.071,00:02:25.412,00:02:38.392,00:02:41.595,00:03:08.622,00:03:13.694,00:03:37.184,00:03:45.459,00:03:57.304,00:04:04.211,00:04:05.379,00:04:06.813,00:04:10.817
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,47,00:00:01.568,1.568,47,00:00:01.568,1.568
2,47,00:00:01.568,1.568,287,00:00:09.576,9.576,240,00:00:08.008,8.008
3,287,00:00:09.576,9.576,390,00:00:13.013,13.013,103,00:00:03.437,3.437
4,390,00:00:13.013,13.013,450,00:00:15.015,15.015,60,00:00:02.002,2.002
5,450,00:00:15.015,15.015,631,00:00:21.054,21.054,181,00:00:06.039,6.039
6,631,00:00:21.054,21.054,694,00:00:23.156,23.156,63,00:00:02.102,2.102
7,694,00:00:23.156,23.156,745,00:00:24.858,24.858,51,00:00:01.702,1.702
8,745,00:00:24.858,24.858,842,00:00:28.095,28.095,97,00:00:03.237,3.237
9,842,00:00:28.095,28.095,896,00:00:29.897,29.897,54,00:00:01.802,1.802
10,896,00:00:29.897,29.897,1416,00:00:47.247,47.247,520,00:00:17.351,17.351
11,1416,00:00:47.247,47.247,1465,00:00:48.882,48.882,49,00:00:01.635,1.635
12,1465,00:00:48.882,48.882,1522,00:00:50.784,50.784,57,00:00:01.902,1.902
13,1522,00:00:50.784,50.784,1574,00:00:52.519,52.519,52,00:00:01.735,1.735
14,1574,00:00:52.519,52.519,1634,00:00:54.521,54.521,60,00:00:02.002,2.002
15,1634,00:00:54.521,54.521,2558,00:01:25.352,85.352,924,00:00:30.831,30.831
16,2558,00:01:25.352,85.352,2777,00:01:32.659,92.659,219,00:00:07.307,7.307
17,2777,00:01:32.659,92.659,3303,00:01:50.210,110.210,526,00:00:17.551,17.551
18,3303,00:01:50.210,110.210,3441,00:01:54.815,114.815,138,00:00:04.605,4.605
19,3441,00:01:54.815,114.815,4028,00:02:14.401,134.401,587,00:00:19.586,19.586
20,4028,00:02:14.401,134.401,4138,00:02:18.071,138.071,110,00:00:03.670,3.670
21,4138,00:02:18.071,138.071,4358,00:02:25.412,145.412,220,00:00:07.341,7.341
22,4358,00:02:25.412,145.412,4747,00:02:38.392,158.392,389,00:00:12.980,12.980
23,4747,00:02:38.392,158.392,4843,00:02:41.595,161.595,96,00:00:03.203,3.203
24,4843,00:02:41.595,161.595,5653,00:03:08.622,188.622,810,00:00:27.027,27.027
25,5653,00:03:08.622,188.622,5805,00:03:13.694,193.694,152,00:00:05.072,5.072
26,5805,00:03:13.694,193.694,6509,00:03:37.184,217.184,704,00:00:23.490,23.490
27,6509,00:03:37.184,217.184,6757,00:03:45.459,225.459,248,00:00:08.275,8.275
28,6757,00:03:45.459,225.459,7112,00:03:57.304,237.304,355,00:00:11.845,11.845
29,7112,00:03:57.304,237.304,7319,00:04:04.211,244.211,207,00:00:06.907,6.907
30,7319,00:04:04.211,244.211,7354,00:04:05.379,245.379,35,00:00:01.168,1.168
31,7354,00:04:05.379,245.379,7397,00:04:06.813,246.813,43,00:00:01.435,1.435
32,7397,00:04:06.813,246.813,7517,00:04:10.817,250.817,120,00:00:04.004,4.004
33,7517,00:04:10.817,250.817,7545,00:04:11.752,251.752,28,00:00:00.934,0.934
